CODE,color   ,details ,hits,powerup,move
7D,empty,empty,0,???,no
7E,empty,empty,0,???,no
7F,grey,1 ridge,2,???,yes
80,empty,empty,0,???,no
81,pinkred,1 ridge,2,???,no
82,pinkred,1 ridge,2,???,no
83,gold,1 ridge,-1,???,no
84,empty,empty,0,???,no
85,pinkred,1 ridge,2,???,no
86,pinkred,1 ridge,2,???,no
87,gold,1 ridge,-1,???,no
88,empty,empty,0,???,no
89,empty,empty,0,???,no
8A,empty,empty,0,???,no
8B,gold,1 ridge,-1,???,no
8C,empty,empty,0,???,no
8D,empty,empty,0,???,no
8E,empty,empty,0,???,no
8F,gold,1 ridge,-1,???,yes
90,empty,empty,0,???,no
91,tealblack,1 ridge,-1,???,no
92,tealblack,1 ridge,-1,???,no
93,gold,1 ridge,-1,???,no
94,empty,empty,0,???,no
95,tealblack,1 ridge,-1,???,no
96,tealblack,1 ridge,-1,???,no
97,gold,1 ridge,-1,???,no
98,empty,empty,0,???,no
99,whiteteal,1 ridge,-1,???,no
9A,whiteteal,1 ridge,-1,???,no
9B,gold,1 ridge,-1,???,no
9C,empty,empty,0,???,no
9D,whiteteal,1 ridge,-1,???,yes
9E,whiteteal,1 ridge,-1,???,yes
9F,empty,empty,0,???,no
A0,empty,empty,0,???,no
A1,redblue,1 ridge,-1,???,no
A2,redblue,1 ridge,-1,???,no
A3,gold,1 ridge,-1,???,no
A4,empty,empty,0,???,no
A5,redblue,1 ridge,-1,???,no
A6,redblue,1 ridge,-1,???,no
A7,gold,1 ridge,-1,???,no
A8,empty,empty,0,???,no
A9,greymix,1 ridge,-1,???,no
AA,greymix,1 ridge,-1,???,no
AB,gold,1 ridge,-1,???,no
AC,empty,empty,0,???,no
AD,greymix,1 ridge,-1,???,yes
AE,greymix,1 ridge,-1,???,yes
AF,gold,1 ridge,-1,???,yes
B0,empty,empty,0,???,no
B1,turqouise,1 ridge,-1,???,no
B2,turqouise,1 ridge,-1,???,no
B3,gold,1 ridge,-1,???,no
B4,empty,empty,0,???,no
B5,turqouise,1 ridge,-1,???,no
B6,turqouise,1 ridge,-1,???,no
B7,gold,1 ridge,-1,???,no
B8,empty,empty,0,???,no
B9,white,flat,1,???,no
BA,white,flat,1,???,no
BB,gold,1 ridge,-1,???,no
BC,empty,empty,0,???,no
BD,white,flat,1,???,yes
BE,white,flat,1,???,yes
BF,gold,1 ridge,-1,???,yes
C0,empty,empty,0,???,no
C1,redwhiteblue,1 ridge,-1,???,no
C2,redwhiteblue,1 ridge,-1,???,no
C3,gold,1 ridge,-1,???,no
C4,empty,empty,0,???,no
C5,redwhiteblue,1 ridge,-1,???,no
C6,redwhiteblue,1 ridge,-1,???,no
C7,gold,1 ridge,-1,???,no
C8,empty,empty,0,???,no
C9,darkteal,1 ridge,-1,???,no
CA,darkteal,1 ridge,-1,???,no
CB,gold,1 ridge,-1,???,no
CC,empty,empty,0,???,no
CD,darkteal,1 ridge,-1,???,yes
CE,darkteal,1 ridge,-1,???,yes
CF,gold,1 ridge,-1,???,yes
D0,empty,empty,0,???,no
D1,jade,diamond,-1,???,no
D2,jade,diamond,-1,???,no
D3,gold,1 ridge,-1,???,no
D4,empty,empty,0,???,no
D5,jade,diamond,-1,???,no
D6,jade,diamond,-1,???,no
D7,gold,1 ridge,-1,???,no
D8,empty,empty,0,???,no
D9,empty,empty,0,???,no
DA,empty,empty,0,???,no
DB,gold,1 ridge,-1,???,no
DC,empty,empty,0,???,no
DD,empty,empty,0,???,no
DE,empty,empty,0,???,no
DF,gold,1 ridge,-1,???,yes
E0,empty,empty,0,???,no
E1,empty,empty,0,???,no
E2,empty,empty,0,???,no
E3,gold,1 ridge,-1,???,no
E4,empty,empty,0,???,no
E5,empty,empty,0,???,no
E6,empty,empty,0,???,no
E7,gold,1 ridge,-1,???,no
E8,empty,empty,0,???,no
E9,empty,empty,0,???,no
EA,empty,empty,0,???,no
EB,gold,1 ridge,-1,???,no
EC,empty,empty,0,???,no
ED,empty,empty,0,???,no
EE,empty,empty,0,???,no
EF,gold,1 ridge,-1,???,yes
F0,empty,empty,0,???,no
F1,goldwhite,2 ridge,-1,???,no
F2,goldwhite,2 ridge,-1,???,no
F3,gold,1 ridge,-1,???,no
F4,empty,empty,0,???,no
F5,goldwhite,2 ridge,-1,???,no
F6,goldwhite,2 ridge,-1,???,no
F7,gold,1 ridge,-1,???,no
F8,empty,empty,0,???,no
F9,empty,empty,0,???,no
EA,empty,empty,0,???,no
EB,gold,1 ridge,-1,???,no
EC,empty,empty,0,???,no
ED,empty,empty,0,???,no
EE,empty,empty,0,???,no
EF,gold,1 ridge,-1,???,yes
